material_slot,material_instance,material_reference,material_path,livery,variant,id
mat_livery,mat_livery#,BASE_LiveryLegacy,/Game/assets/graphics/Materials/Bases/Vehicles,#,$,*
mat_brake,mat_brake#,BASE_BrakesLegacy,/Game/assets/graphics/Materials/Bases/Vehicles,,,
mat_mechanics,mat_mechanics$,BASE_MechanicsLegacy,/Game/assets/graphics/Materials/Bases/Vehicles,,,
mat_rim,mat_rim#,BASE_RimLegacy,/Game/assets/graphics/Materials/Bases/Vehicles,,,
mat_b_tyre,mat_BackTyre#_*,BASE_Tyre3,/Game/assets/graphics/Materials/Bases/Vehicles,,,
mat_chain,mat_chain#_*,BASE_ChainLegacy,/Game/assets/graphics/Materials/Bases/Vehicles,,,
mat_f_tyre,mat_FrontTyre#_*,BASE_Tyre3,/Game/assets/graphics/Materials/Bases/Vehicles,,,
mat_gauge,mat_gauge#,BASE_GaugeLegacy,/Game/assets/graphics/Materials/Bases/Vehicles,,,
mat_glass,mat_glass$,BASE_VehicleGlass_Legacy,/Game/assets/graphics/Materials/Bases/Vehicles,,,
mat_cockpit,mat_cockpit$,BASE_CockpitLegacy,/Game/assets/graphics/Materials/Bases/Vehicles,,,
mat_innerglass,mat_innerglass$,BASE_VehicleGlass_Legacy,/Game/assets/graphics/Materials/Bases/Vehicles,,,
mat_lights,mat_lights#,BASE_Lights3,/Game/assets/graphics/Materials/Bases/Vehicles,,,
mat_livery_lod,mat_livery_lod#,BASE_LiveryLODLegacy,/Game/assets/graphics/Materials/Bases/Vehicles,,,
