name,type,size,compression_settings,texture_group,mip_gen_settings,srgb
livery*_d,diffuse,4096x4096,TC_DEFAULT,LiveryDetail,TMGS_FROM_TEXTURE_GROUP,TRUE
livery*_l,colormask,4096x4096,TC_MASKS,Livery,TMGS_FROM_TEXTURE_GROUP,FALSE
livery*_n,normal,4096x4096,TC_NORMALMAP,Livery,TMGS_FROM_TEXTURE_GROUP,FALSE
livery*_custom_mask,colormask,4096x4096,TC_ALPHA,VehicleMask,TMGS_FROM_TEXTURE_GROUP,FALSE
livery*_clearcoat_mask,colormask,4096x4096,TC_MASKS,VehicleMask,TMGS_FROM_TEXTURE_GROUP,FALSE
cockpit*_d,diffuse,4096x4096,TC_DEFAULT,Vehicle,TMGS_FROM_TEXTURE_GROUP,TRUE
cockpit*_l,colormask,4096x4096,TC_MASKS,VehicleSpecular,TMGS_FROM_TEXTURE_GROUP,FALSE
cockpit*_n,normal,4096x4096,TC_NORMALMAP,VehicleNormalMap,TMGS_FROM_TEXTURE_GROUP,FALSE
cockpit*_clearcoat_mask,colormask,4096x4096,TC_MASKS,VehicleMask,TMGS_FROM_TEXTURE_GROUP,FALSE
cockpit*_rain_m,,,TC_ALPHA,MinorPart,TMGS_FROM_TEXTURE_GROUP,FALSE
mechanics*_d,diffuse,4096x4096,TC_DEFAULT,Mechanics,TMGS_FROM_TEXTURE_GROUP,TRUE
mechanics*_l,colormask,4096x4096,TC_MASKS,Mechanics,TMGS_FROM_TEXTURE_GROUP,FALSE
mechanics*_n,normal,4096x4096,TC_NORMALMAP,MechanicsDetail,TMGS_FROM_TEXTURE_GROUP,FALSE
mechanics*_clearcoat_mask,colormask,4096x4096,TC_MASKS,VehicleMask,TMGS_FROM_TEXTURE_GROUP,FALSE
gauge*_d,diffuse,4096x4096,TC_DEFAULT,MinorPart,TMGS_FROM_TEXTURE_GROUP,TRUE
glass*_d,diffuse,4096x4096,TC_DEFAULT,Glass,TMGS_FROM_TEXTURE_GROUP,TRUE
glass*_n,normal,4096x4096,TC_NORMALMAP,Glass,TMGS_FROM_TEXTURE_GROUP,FALSE
glass*_rain_m,colormask,,TC_ALPHA,MinorPart,,FALSE
glass*_m,colormask,4096x4096,TC_ALPHA,MinorPart,TMGS_NO_MIPMAPS,FALSE
glassdecal*,colormask,4096x4096,TC_MASKS,MinorPart,TMGS_FROM_TEXTURE_GROUP,FALSE
lights*_d,diffuse,4096x4096,TC_DEFAULT,MinorPart,TMGS_FROM_TEXTURE_GROUP,TRUE
