name,type,size,compression_settings,texture_group,mip_gen_settings,srgb,prefix_check
livery*_d,,,,LiveryDetail,TMGS_FROM_TEXTURE_GROUP,,livery
livery*_l,,,,Livery,TMGS_FROM_TEXTURE_GROUP,,cockpit
livery*_n,,,,Livery,TMGS_FROM_TEXTURE_GROUP,,mechanics
livery*_custom_mask,,,TC_ALPHA,VehicleMask,TMGS_FROM_TEXTURE_GROUP,,gauge
livery*_*_clearcoat_mask,,,,VehicleMask,TMGS_FROM_TEXTURE_GROUP,,glass
cockpit*_d,,,,Vehicle,TMGS_FROM_TEXTURE_GROUP,,glassdecal
cockpit*_l,,,,VehicleSpecular,TMGS_FROM_TEXTURE_GROUP,,lights
cockpit*_n,,,,VehicleNormalMap,TMGS_FROM_TEXTURE_GROUP,,brake
cockpit*_clearcoat_mask,,,,VehicleMask,TMGS_FROM_TEXTURE_GROUP,,gear
cockpit*_rain_m,,,,MinorPart,TMGS_FROM_TEXTURE_GROUP,,rim
mechanics*_d,,,,Mechanics,TMGS_FROM_TEXTURE_GROUP,,exmanifold
mechanics*_l,,,,Mechanics,TMGS_FROM_TEXTURE_GROUP,,muffler
mechanics*_n,,,,MechanicsDetail,TMGS_FROM_TEXTURE_GROUP,,handguard
mechanics*_clearcoat_mask,,,,VehicleMask,TMGS_FROM_TEXTURE_GROUP,,barpad
gauge*_d,,,,MinorPart,TMGS_FROM_TEXTURE_GROUP,,fronttyre
glass*_d,,,,Glass,TMGS_FROM_TEXTURE_GROUP,,backtyre
glass*_n,,,,Glass,TMGS_FROM_TEXTURE_GROUP,,preset
glass*_rain_m,,,,MinorPart,TMGS_NO_MIPMAPS,,
glass*_m,,,,MinorPart,TMGS_NO_MIPMAPS,,
glassdecal*_l,,,,MinorPart,TMGS_FROM_TEXTURE_GROUP,,
lights*_d,,,,MinorPart,TMGS_FROM_TEXTURE_GROUP,,
lights*_l,,,,MinorPart,TMGS_FROM_TEXTURE_GROUP,,
lights*_n,,,,MinorPart,TMGS_FROM_TEXTURE_GROUP,,
lights_inc*,,,,VehicleMask,TMGS_FROM_TEXTURE_GROUP,,
brake*_d,,,,MinorPart,TMGS_FROM_TEXTURE_GROUP,,
brake*_l,,,,MinorPart,TMGS_FROM_TEXTURE_GROUP,,
brake*_n,,,,MinorPart,TMGS_FROM_TEXTURE_GROUP,,
gear*_d,,,,MinorPart,TMGS_FROM_TEXTURE_GROUP,,
gear*_l,,,,MinorPart,TMGS_FROM_TEXTURE_GROUP,,
gear*_n,,,,MinorPart,TMGS_FROM_TEXTURE_GROUP,,
rim*_d,,,,CustomPart,TMGS_FROM_TEXTURE_GROUP,,
rim*_l,,,,CustomPart,TMGS_FROM_TEXTURE_GROUP,,
rim*_n,,,,CustomPart,TMGS_FROM_TEXTURE_GROUP,,
rim*_mask,,,,VehicleMask,TMGS_FROM_TEXTURE_GROUP,,
rim*_clearcoat_mask,,,,VehicleMask,TMGS_FROM_TEXTURE_GROUP,,
exmanifold*_d,,,,CustomPart,TMGS_FROM_TEXTURE_GROUP,,
exmanifold*_l,,,,CustomPart,TMGS_FROM_TEXTURE_GROUP,,
exmanifold*_n,,,,CustomPart,TMGS_FROM_TEXTURE_GROUP,,
exmanifold*_clearcoat_mask,,,,VehicleMask,TMGS_FROM_TEXTURE_GROUP,,
muffler*_d,,,,CustomPart,TMGS_FROM_TEXTURE_GROUP,,
muffler*_l,,,,CustomPart,TMGS_FROM_TEXTURE_GROUP,,
muffler*_n,,,,CustomPart,TMGS_FROM_TEXTURE_GROUP,,
muffler*_clearcoat_mask,,,,VehicleMask,TMGS_FROM_TEXTURE_GROUP,,
handguard*_*_d,,,,MinorPart,TMGS_FROM_TEXTURE_GROUP,,
handguard*_*_l,,,,MinorPart,TMGS_FROM_TEXTURE_GROUP,,
handguard*_n,,,,MinorPart,TMGS_FROM_TEXTURE_GROUP,,
barpad*_*_d,,,,MinorPart,TMGS_FROM_TEXTURE_GROUP,,
barpad*_*_l,,,,MinorPart,TMGS_FROM_TEXTURE_GROUP,,
barpad*_n,,,,MinorPart,TMGS_FROM_TEXTURE_GROUP,,
fronttyre*_d,,,,CustomPart,TMGS_FROM_TEXTURE_GROUP,,
fronttyre*_blur_d,,,,CustomPart,TMGS_FROM_TEXTURE_GROUP,,
fronttyre*_l,,,,CustomPart,TMGS_FROM_TEXTURE_GROUP,,
fronttyre*_blur_l,,,,CustomPart,TMGS_FROM_TEXTURE_GROUP,,
fronttyre*_n,,,,CustomPart,TMGS_FROM_TEXTURE_GROUP,,
fronttyre*_blur_n,,,,CustomPart,TMGS_FROM_TEXTURE_GROUP,,
backtyre*_d,,,,CustomPart,TMGS_FROM_TEXTURE_GROUP,,
backtyre*_blur_d,,,,CustomPart,TMGS_FROM_TEXTURE_GROUP,,
backtyre*_l,,,,CustomPart,TMGS_FROM_TEXTURE_GROUP,,
backtyre*_blur_l,,,,CustomPart,TMGS_FROM_TEXTURE_GROUP,,
backtyre*_n,,,,CustomPart,TMGS_FROM_TEXTURE_GROUP,,
backtyre*_blur_n,,,,CustomPart,TMGS_FROM_TEXTURE_GROUP,,
preset_enduro*_d,,,,CustomPart,TMGS_FROM_TEXTURE_GROUP,,
preset_enduro*_l,,,,CustomPart,TMGS_FROM_TEXTURE_GROUP,,
preset_enduro*_n,,,,CustomPart,TMGS_FROM_TEXTURE_GROUP,,
